case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
aes_trojan1,aes,aes_trojan1,PASS,TIMEOUT,regression,0,46568.3,,50036.1558200093,300127.0124570001,242128,14,242133,20,242128,14,,,-5,,-6,,,,,,,,,1,1,1,1,
c2670_trojan0,c2670,c2670_trojan0,PASS,PASS,both_pass,1,509.459,2422.48,615.835995064117,2515.7724280143157,717,21,738,29,736,28,717,21,-2,-21,-1,-8,19,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan1,c2670,c2670_trojan1,PASS,PASS,both_pass,1,923.449,2267.76,1013.911506976001,2368.2612270349637,717,21,737,35,735,34,717,21,-2,-20,-1,-14,18,13,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan10,c2670,c2670_trojan10,PASS,PASS,both_pass,1,1033.51,2249.66,1164.0898999758065,2310.9558700816706,717,21,737,28,735,27,717,21,-2,-20,-1,-7,18,6,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan11,c2670,c2670_trojan11,PASS,PASS,both_pass,1,522.205,2493.5,715.5420709168538,2564.7534399759024,717,21,738,30,717,21,717,21,-21,-21,-9,-9,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan12,c2670,c2670_trojan12,PASS,PASS,both_pass,1,773.184,2308.42,865.6859010225162,2361.6533119929954,717,21,737,34,735,33,717,21,-2,-20,-1,-13,18,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan13,c2670,c2670_trojan13,PASS,PASS,both_pass,1,431.862,2278.12,566.488787997514,2364.060170017183,717,21,737,32,735,31,717,21,-2,-20,-1,-11,18,10,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan14,c2670,c2670_trojan14,PASS,PASS,both_pass,1,614.011,2328.03,714.6204430609941,2417.201688978821,717,21,736,32,734,31,717,21,-2,-19,-1,-11,17,10,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan15,c2670,c2670_trojan15,PASS,PASS,both_pass,1,779.853,2294.58,914.2585910158232,2362.980221048929,717,21,736,34,734,33,717,21,-2,-19,-1,-13,17,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan16,c2670,c2670_trojan16,PASS,PASS,both_pass,1,875.116,2299.41,970.7416610326618,2363.257219083607,717,21,737,35,735,34,717,21,-2,-20,-1,-14,18,13,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan17,c2670,c2670_trojan17,PASS,PASS,both_pass,1,456.611,2302.63,564.8199910065159,2361.772479955107,717,21,736,29,734,28,717,21,-2,-19,-1,-8,17,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan18,c2670,c2670_trojan18,PASS,PASS,both_pass,1,650.859,2287.16,974.830377032049,2361.161761917174,717,21,736,31,734,30,717,21,-2,-19,-1,-10,17,9,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan19,c2670,c2670_trojan19,PASS,PASS,both_pass,1,559.989,2393.59,663.1923679960892,2462.824749061838,717,21,738,27,717,21,717,21,-21,-21,-6,-6,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan2,c2670,c2670_trojan2,PASS,PASS,both_pass,1,527.495,2162.23,661.5086810197681,2210.624934057705,717,21,736,28,734,27,717,21,-2,-19,-1,-7,17,6,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan20,c2670,c2670_trojan20,PASS,PASS,both_pass,1,454.1,2544.48,562.7976909745485,2613.998967106454,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan21,c2670,c2670_trojan21,PASS,PASS,both_pass,1,438.517,2510.93,569.7527331067249,2561.9355849921703,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan22,c2670,c2670_trojan22,PASS,PASS,both_pass,1,477.796,2305.33,613.4369549108669,2362.5630509341136,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan23,c2670,c2670_trojan23,PASS,PASS,both_pass,1,611.018,2462.68,715.9131810767576,2511.8294450221583,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan24,c2670,c2670_trojan24,PASS,PASS,both_pass,1,992.51,2257.64,1114.2389400629327,2311.6918109590188,717,21,736,27,734,26,717,21,-2,-19,-1,-6,17,5,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan25,c2670,c2670_trojan25,PASS,PASS,both_pass,1,802.51,2433.66,915.0063439738005,2515.8596630208194,717,21,736,34,717,21,717,21,-19,-19,-13,-13,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan26,c2670,c2670_trojan26,PASS,PASS,both_pass,1,435.789,2374.75,567.3598679713905,2464.5758100086823,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan27,c2670,c2670_trojan27,PASS,PASS,both_pass,1,638.324,2308.84,765.095294918865,2362.4507630011067,717,21,736,29,734,28,717,21,-2,-19,-1,-8,17,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan28,c2670,c2670_trojan28,PASS,PASS,both_pass,1,644.206,2264.16,763.5660510277376,2311.1438209889457,717,21,736,34,734,33,717,21,-2,-19,-1,-13,17,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan29,c2670,c2670_trojan29,PASS,PASS,both_pass,1,559.942,2182.54,661.2809170037508,2262.5002259155735,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan3,c2670,c2670_trojan3,PASS,PASS,both_pass,1,1044.45,2509.33,1175.9805659530684,2602.635744959116,717,21,736,34,734,33,717,21,-2,-19,-1,-13,17,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan30,c2670,c2670_trojan30,PASS,PASS,both_pass,1,523.339,2200.72,612.8804070176557,2284.55263201613,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
