profile,case_id,circuit,trojan,method,status,gt_verify,abc_equivalent,runtime_ms,wall_ms,provenance_ms,main_wall_ms,cec_wall_ms,cec_rounds,dt_builds,synth_ms,synthesized_rules,synthesized_literals,synthesized_depth,apply_source,rule_model_used,effective_rules,effective_literals,effective_depth,applied_rules,applied_literals,applied_depth,signature_exact_mismatch,actual_area_delta_trojan,actual_level_delta_trojan,actual_area_delta_golden,actual_level_delta_golden,optimizer_calls,optimizer_checks,optimizer_cex,optimizer_solver_ms,vn_generated,vn_used
rebuild11,c5315_trojan28,c5315,c5315_trojan28,vn-retrain,PASS,PASS,True,2607.58,2730.399274965748,74.41609306260943,2685.4769429191947,34.49329896830022,1,8,2274.2467,1,5,5,literal_patch_cut,0,1,1,1,0,0,0,0,-1,0,6,0,0,0,0,0.0,600,0
rebuild11,c5315_trojan28,c5315,c5315_trojan28,z3-pb,PASS,PASS,True,985.288,1116.373399971053,73.81166203413159,1072.4439549958333,33.612524974159896,1,2,719.8575999999999,1,5,5,literal_patch_cut,0,1,1,1,0,0,0,0,-1,0,6,0,2,6,18,19.9061,0,0
rebuild11,c5315_trojan34,c5315,c5315_trojan34,vn-retrain,PASS,PASS,True,3752.74,3858.2304129377007,79.64213099330664,3813.4202379733324,33.77879597246647,1,8,3114.615,1,4,4,signature_minimize,1,1,4,4,1,4,4,0,6,0,12,11,0,0,0,0.0,600,0
rebuild11,c5315_trojan34,c5315,c5315_trojan34,z3-pb,PASS,PASS,True,1358.69,1475.9164321003482,74.86212800722569,1432.2044959990308,33.83721399586648,1,2,845.6464,1,4,4,signature_minimize,1,1,4,4,1,4,4,0,6,0,12,11,2,4,6,13.181899999999999,0,0
rebuild11,c5315_trojan55,c5315,c5315_trojan55,vn-retrain,CEC_FAIL,PASS,False,165676.0,165876.67440401856,207.9017220530659,165797.60938696563,65.87422301527113,5,20,122511.7833,2,9,5,signature_minimize,1,2,8,4,2,8,4,0,22,1,292,14,0,0,0,0.0,1500,4
rebuild11,c5315_trojan55,c5315,c5315_trojan55,z3-pb,CEC_FAIL,PASS,False,76840.7,77014.40545800142,178.82843199186027,76969.82527594082,33.64370099734515,5,5,33584.4905,3,14,6,signature_minimize,1,3,11,4,3,11,4,0,28,7,298,20,5,114,536,750.8438,0,0
rebuild11,c5315_trojan78,c5315,c5315_trojan78,vn-retrain,CEC_FAIL,PASS,False,201292.0,201661.08695499133,301.97892303112894,201580.0658010412,65.5435819644481,5,20,138889.6497,4,16,6,signature_minimize_skipped,1,4,16,6,4,16,6,1,41,13,284,19,0,0,0,0.0,1500,3
rebuild11,c5315_trojan78,c5315,c5315_trojan78,z3-pb,CEC_FAIL,PASS,False,88237.8,88442.36524298321,292.05314302816987,88364.68680691905,65.903575043194,5,5,34070.543099999995,3,13,5,signature_minimize,1,3,11,4,3,11,4,0,28,8,271,14,5,92,412,466.27470000000005,0,0
rebuild11,c7552_trojan23,c7552,c7552_trojan23,vn-retrain,CEC_FAIL,PASS,False,103336.0,103449.27581690717,115.06254388950765,103402.91823202278,33.67289702873677,5,20,97561.78640000001,2,5,3,signature_minimize,1,2,5,3,2,5,3,0,12,0,19,0,0,0,0,0.0,1148,0
rebuild11,c7552_trojan23,c7552,c7552_trojan23,z3-pb,PASS,PASS,True,5142.37,5285.062556969933,80.88401693385094,5240.405929042026,33.65189000032842,0,1,4398.9366,1,2,2,literal_patch_cut,0,1,1,1,0,0,0,0,-1,0,6,0,1,1,0,6.6052,0,0
