case_id,cohort,method,status,runtime_ms,wall_ms,cec_rounds,dt_builds,synth_ms,optimizer_solver_ms,apply_source,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan,miter_added,miter_fn,miter_fp,miter_retry,miter_proved,cover_terms_generated,cover_terms_final,cover_inverters_before,cover_inverters_after,cover_unique_features_before,cover_unique_features_after,cover_logic_risk_before,cover_logic_risk_after
c2670_trojan0,control_no_vn_retry,milp-cover,PASS,453.516,571.1861120071262,0,1,312.6164,1.3697,stats_literal,1,1,1,-1,0,0,0,0,0,1,1,1,0,0,1,1,0.6697,0.6697
c2670_trojan0,control_no_vn_retry,z3-pb,PASS,446.802,570.1705669052899,0,1,306.8403,6.0997,stats_literal,1,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c5315_trojan26,control_single_vn_pass,milp-cover,PASS,515.612,621.0519439773634,0,1,418.3522,3.049,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,1,1,2,2,5,5,0.5302,0.5302
c5315_trojan26,control_single_vn_pass,z3-pb,PASS,481.05,573.7029250012711,0,1,430.3352,10.0232,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c880_trojan30,control_single_vn_pass,milp-cover,PASS,479.909,613.5813459986821,0,2,322.3708,4.5161,literal_patch_cut,1,1,1,-1,0,5,0,5,1,0,2,2,0,0,3,3,1.089,1.089
c880_trojan30,control_single_vn_pass,z3-pb,PASS,429.617,572.2452300833538,0,2,287.6415,12.2624,literal_patch_cut,1,1,1,-1,0,5,0,5,1,0,0,0,0,0,0,0,0,0
c5315_trojan28,v6_vn_rounds_gt_1,milp-cover,PASS,492.4,623.9057820057496,0,1,413.3453,2.096,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,1,1,1,1,4,4,0.5314,0.5314
c5315_trojan28,v6_vn_rounds_gt_1,z3-pb,PASS,588.563,723.8567470340058,0,1,478.204,5.4463,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5315_trojan34,v6_vn_rounds_gt_1,milp-cover,PASS,610.111,721.0607570596039,0,1,517.8383,4.5588,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,1,1,1,1,4,4,0.5132,0.5132
c5315_trojan34,v6_vn_rounds_gt_1,z3-pb,PASS,705.061,833.3723169052973,0,1,549.849,8.4289,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
