case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
aes_n2_t5_o000_s9000_7aac57e8,aes,aes_n2_t5_o000_s9000_7aac57e8,TIMEOUT,TIMEOUT,both_nonpass,0,,,300168.9066980034,300116.47795606405,242128,14,242142,16,,,,,,,,,,,,,,,,,,,,
aes_n3_t5_o000_s9000_7aac57e8,aes,aes_n3_t5_o000_s9000_7aac57e8,TIMEOUT,TIMEOUT,both_nonpass,0,,,300167.7220929414,300115.0001389906,242128,14,242149,16,,,,,,,,,,,,,,,,,,,,
c7552_n5_t5_o000_s9503_209d2aa4,c7552,c7552_n5_t5_o000_s9503_209d2aa4,NO_PATCH,NO_PATCH,both_nonpass,0,70065.8,30243.8,70161.00707196165,30283.349567907862,2074,29,2109,29,,,,,,,,,,,,,,,,17,51,4,,
c880_n1_t3_o000_s2007_6c8940cd,c880,c880_n1_t3_o000_s2007_6c8940cd,PASS,PASS,both_pass,1,332.412,2063.86,413.08178601320833,2116.97492597159,327,24,332,24,327,24,327,24,-5,-5,0,0,0,0,tie,tie,1,2,1,1,1,1,1,1
c880_n1_t5_o000_s2001_6c8940cd,c880,c880_n1_t5_o000_s2001_6c8940cd,PASS,PASS,both_pass,1,317.205,2029.94,412.10239299107343,2109.845106024295,327,24,334,24,327,24,327,24,-7,-7,0,0,0,0,tie,tie,1,2,1,1,1,1,1,1
c880_n2_t3_o000_s2004_6c8940cd,c880,c880_n2_t3_o000_s2004_6c8940cd,PASS,NO_PATCH,regression,0,6959.48,18329.8,7092.693306040019,18351.763173006475,327,24,337,24,348,28,,,11,,4,,,,,,,,,2,6,4,1,
c880_n2_t3_o500_s6004_6c8940cd,c880,c880_n2_t3_o500_s6004_6c8940cd,NO_PATCH,NO_PATCH,both_nonpass,0,35469.0,21889.2,35561.98487407528,21917.487359954976,327,24,336,24,,,,,,,,,,,,,,,,10,43,7,,
c880_n2_t5_o000_s2006_6c8940cd,c880,c880_n2_t5_o000_s2006_6c8940cd,NO_PATCH,NO_PATCH,both_nonpass,0,4015.63,19458.2,4113.526590983383,19504.95020195376,327,24,341,24,,,,,,,,,,,,,,,,4,11,4,,
c880_n3_t3_o000_s2004_6c8940cd,c880,c880_n3_t3_o000_s2004_6c8940cd,CEC_FAIL,NO_PATCH,both_nonpass,0,43418.1,16956.2,43522.34331599902,17006.460150005296,327,24,342,24,,,,,,,,,,,,,,,,10,31,4,,
c880_n3_t5_o000_s2001_6c8940cd,c880,c880_n3_t5_o000_s2001_6c8940cd,NO_PATCH,NO_PATCH,both_nonpass,0,45222.8,17725.3,45326.50608406402,17755.979795008898,327,24,348,26,,,,,,,,,,,,,,,,11,43,5,,
c880_n3_t5_o500_s6004_6c8940cd,c880,c880_n3_t5_o500_s6004_6c8940cd,CEC_FAIL,NO_PATCH,both_nonpass,0,72736.1,20532.5,72877.71800195333,20554.798515047878,327,24,346,24,,,,,,,,,,,,,,,,8,31,5,,
mem_ctrl_n2_t5_o000_s2003_bef1125c,mem_ctrl,mem_ctrl_n2_t5_o000_s2003_bef1125c,CEC_FAIL,NO_PATCH,both_nonpass,0,267106.0,42962.2,267615.3797159204,43127.27138400078,46836,114,46850,114,,,,,,,,,,,,,,,,1,2,2,,
mem_ctrl_n3_t5_o000_s2003_bef1125c,mem_ctrl,mem_ctrl_n3_t5_o000_s2003_bef1125c,CEC_FAIL,NO_PATCH,both_nonpass,0,285049.0,42818.4,285546.95979494136,42964.06930801459,46836,114,46857,114,,,,,,,,,,,,,,,,1,2,2,,
