case_id,benchmark,phase_id,split,size_class,trojan_count,trigger_size,trigger_topology,positive_pattern_count,off_status,on_status,transition,gain,regression,off_success,on_success,off_wall_ms,on_wall_ms,off_runtime_ms,on_runtime_ms,off_dt_builds,on_dt_builds,off_cec_rounds,on_cec_rounds,on_miter_added,on_miter_fn,on_miter_fp,on_miter_checks,on_miter_total_ms,on_miter_last_status,on_miter_last_proved,off_effective_rules,off_effective_literals,off_effective_depth,on_effective_rules,on_effective_literals,on_effective_depth,off_actual_area_delta_trojan,on_actual_area_delta_trojan,off_actual_level_delta_trojan,on_actual_level_delta_trojan,binary_sha256,abc_sha256
aes_n2_t5_o000_s9000_7aac57e8,aes,heldout_ood,heldout_ood,large_ood,2,5,disjoint,160,TIMEOUT,TIMEOUT,TIMEOUT->TIMEOUT,0,0,0,0,300267.39089295734,300168.9066980034,,,1,1,,,,,,,,,,,,,,,,,,,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
aes_n3_t5_o000_s9000_7aac57e8,aes,heldout_ood,heldout_ood,large_ood,3,5,disjoint,320,TIMEOUT,TIMEOUT,TIMEOUT->TIMEOUT,0,0,0,0,300273.8131590886,300167.7220929414,,,1,1,,,,,,,,,,,,,,,,,,,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c7552_n5_t5_o000_s9503_209d2aa4,c7552,five_trojan_stress,stress,small,5,5,disjoint,256,NO_PATCH,NO_PATCH,NO_PATCH->NO_PATCH,0,0,0,0,4743.743718019687,70161.00707196165,4629.52,70065.8,1,7,0,0,30,18,12,30,981.1902,counterexamples,0,6,14,3,17,51,4,,,,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n1_t3_o000_s2007_6c8940cd,c880,core_final,final_in_distribution,small,1,3,disjoint,64,PASS,PASS,PASS->PASS,0,0,1,1,467.1118080150336,413.08178601320833,358.475,332.412,1,1,0,0,0,0,0,0,0,skipped,0,1,1,1,1,1,1,-1,-1,0,0,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n1_t5_o000_s2001_6c8940cd,c880,core_final,final_in_distribution,small,1,5,disjoint,64,PASS,PASS,PASS->PASS,0,0,1,1,361.4549069898203,412.10239299107343,267.687,317.205,1,1,0,0,0,0,0,0,0,skipped,0,1,1,1,1,1,1,-1,-1,0,0,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n2_t3_o000_s2004_6c8940cd,c880,core_final,final_in_distribution,small,2,3,disjoint,160,CEC_FAIL,PASS,CEC_FAIL->PASS,1,0,0,1,1226.790982997045,7092.693306040019,1112.14,6959.48,5,9,5,3,35,21,14,39,306.91429999999997,proved,1,3,8,3,2,6,4,56,24,6,3,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n2_t3_o500_s6004_6c8940cd,c880,shared_trigger_challenge,topology_challenge,small,2,3,shared_trigger_literals,48,CEC_FAIL,NO_PATCH,CEC_FAIL->NO_PATCH,0,0,0,0,1017.7251669811085,35561.98487407528,918.324,35469.0,4,6,3,0,30,18,12,30,164.56940000000003,counterexamples,0,3,12,5,10,43,7,24,,5,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n2_t5_o000_s2006_6c8940cd,c880,core_final,final_in_distribution,small,2,5,disjoint,160,CEC_FAIL,NO_PATCH,CEC_FAIL->NO_PATCH,0,0,0,0,1224.822145071812,4113.526590983383,1113.74,4015.63,5,6,5,0,30,18,12,30,169.7362,counterexamples,0,3,6,3,4,11,4,15,,7,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n3_t3_o000_s2004_6c8940cd,c880,core_final,final_in_distribution,small,3,3,disjoint,320,CEC_FAIL,CEC_FAIL,CEC_FAIL->CEC_FAIL,0,0,0,0,1583.5335000883788,43522.34331599902,1474.61,43418.1,4,7,3,1,35,21,14,35,167.5323,counterexamples,0,4,10,3,10,31,4,45,195,1,12,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n3_t5_o000_s2001_6c8940cd,c880,core_final,final_in_distribution,small,3,5,disjoint,320,CEC_FAIL,NO_PATCH,CEC_FAIL->NO_PATCH,0,0,0,0,1479.120917036198,45326.50608406402,1377.08,45222.8,5,6,5,0,30,18,12,30,171.4475,counterexamples,0,3,5,2,11,43,5,60,,7,,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
c880_n3_t5_o500_s6004_6c8940cd,c880,shared_trigger_challenge,topology_challenge,small,3,5,shared_trigger_literals,112,CEC_FAIL,CEC_FAIL,CEC_FAIL->CEC_FAIL,0,0,0,0,1377.1272730082273,72877.71800195333,1273.73,72736.1,5,10,5,4,50,30,20,50,265.32280000000003,counterexamples,0,3,10,4,8,31,5,72,260,8,13,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
mem_ctrl_n2_t5_o000_s2003_bef1125c,mem_ctrl,core_final,final_in_distribution,medium,2,5,disjoint,160,CEC_FAIL,CEC_FAIL,CEC_FAIL->CEC_FAIL,0,0,0,0,62667.30417101644,267615.3797159204,62154.8,267106.0,5,5,5,5,0,0,0,5,54802.32400000001,timeout,0,1,2,2,1,2,2,6,6,0,0,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
mem_ctrl_n3_t5_o000_s2003_bef1125c,mem_ctrl,core_final,final_in_distribution,medium,3,5,disjoint,320,CEC_FAIL,CEC_FAIL,CEC_FAIL->CEC_FAIL,0,0,0,0,81541.28647805192,285546.95979494136,81047.1,285049.0,5,5,5,5,0,0,0,5,54838.6818,timeout,0,1,2,2,1,2,2,6,6,0,0,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3
