dimension,value,cases,off_pass,on_pass,gains,regressions,transitions,off_statuses,on_statuses,both_pass_cases,both_pass_off_wall_ms,both_pass_on_wall_ms,both_pass_off_over_on_wall_geomean,on_formal_counterexamples_added,on_formal_fn,on_formal_fp,on_formal_checks,on_formal_total_ms
phase_id,core_final,8,2,3,1,0,"{'CEC_FAIL->CEC_FAIL': 3, 'CEC_FAIL->NO_PATCH': 2, 'CEC_FAIL->PASS': 1, 'PASS->PASS': 2}","{'CEC_FAIL': 6, 'PASS': 2}","{'CEC_FAIL': 3, 'NO_PATCH': 2, 'PASS': 3}",2,828.5667150048539,825.1841790042818,0.9959026641861463,130.0,78.0,52.0,144.0,110456.6361
phase_id,five_trojan_stress,1,0,0,0,0,{'NO_PATCH->NO_PATCH': 1},{'NO_PATCH': 1},{'NO_PATCH': 1},0,0,0,,30.0,18.0,12.0,30.0,981.1902
phase_id,heldout_ood,2,0,0,0,0,{'TIMEOUT->TIMEOUT': 2},{'TIMEOUT': 2},{'TIMEOUT': 2},0,0,0,,0,0,0,0,0
phase_id,shared_trigger_challenge,2,0,0,0,0,"{'CEC_FAIL->CEC_FAIL': 1, 'CEC_FAIL->NO_PATCH': 1}",{'CEC_FAIL': 2},"{'CEC_FAIL': 1, 'NO_PATCH': 1}",0,0,0,,80.0,48.0,32.0,80.0,429.89220000000006
size_class,large_ood,2,0,0,0,0,{'TIMEOUT->TIMEOUT': 2},{'TIMEOUT': 2},{'TIMEOUT': 2},0,0,0,,0,0,0,0,0
size_class,medium,2,0,0,0,0,{'CEC_FAIL->CEC_FAIL': 2},{'CEC_FAIL': 2},{'CEC_FAIL': 2},0,0,0,,0.0,0.0,0.0,10.0,109641.00580000001
size_class,small,9,2,3,1,0,"{'CEC_FAIL->CEC_FAIL': 2, 'CEC_FAIL->NO_PATCH': 3, 'CEC_FAIL->PASS': 1, 'NO_PATCH->NO_PATCH': 1, 'PASS->PASS': 2}","{'CEC_FAIL': 6, 'NO_PATCH': 1, 'PASS': 2}","{'CEC_FAIL': 2, 'NO_PATCH': 4, 'PASS': 3}",2,828.5667150048539,825.1841790042818,0.9959026641861463,240.0,144.0,96.0,244.0,2226.7127
trojan_count,1,2,2,2,0,0,{'PASS->PASS': 2},{'PASS': 2},{'PASS': 2},2,828.5667150048539,825.1841790042818,0.9959026641861463,0.0,0.0,0.0,0.0,0.0
trojan_count,2,5,0,1,1,0,"{'CEC_FAIL->CEC_FAIL': 1, 'CEC_FAIL->NO_PATCH': 2, 'CEC_FAIL->PASS': 1, 'TIMEOUT->TIMEOUT': 1}","{'CEC_FAIL': 4, 'TIMEOUT': 1}","{'CEC_FAIL': 1, 'NO_PATCH': 2, 'PASS': 1, 'TIMEOUT': 1}",0,0,0,,95.0,57.0,38.0,104.0,55443.543900000004
trojan_count,3,5,0,0,0,0,"{'CEC_FAIL->CEC_FAIL': 3, 'CEC_FAIL->NO_PATCH': 1, 'TIMEOUT->TIMEOUT': 1}","{'CEC_FAIL': 4, 'TIMEOUT': 1}","{'CEC_FAIL': 3, 'NO_PATCH': 1, 'TIMEOUT': 1}",0,0,0,,115.0,69.0,46.0,120.0,55442.9844
trojan_count,5,1,0,0,0,0,{'NO_PATCH->NO_PATCH': 1},{'NO_PATCH': 1},{'NO_PATCH': 1},0,0,0,,30.0,18.0,12.0,30.0,981.1902
trigger_size,3,4,1,2,1,0,"{'CEC_FAIL->CEC_FAIL': 1, 'CEC_FAIL->NO_PATCH': 1, 'CEC_FAIL->PASS': 1, 'PASS->PASS': 1}","{'CEC_FAIL': 3, 'PASS': 1}","{'CEC_FAIL': 1, 'NO_PATCH': 1, 'PASS': 2}",1,467.1118080150336,413.08178601320833,1.130797396136216,100.0,60.0,40.0,104.0,639.016
trigger_size,5,9,1,1,0,0,"{'CEC_FAIL->CEC_FAIL': 3, 'CEC_FAIL->NO_PATCH': 2, 'NO_PATCH->NO_PATCH': 1, 'PASS->PASS': 1, 'TIMEOUT->TIMEOUT': 2}","{'CEC_FAIL': 5, 'NO_PATCH': 1, 'PASS': 1, 'TIMEOUT': 2}","{'CEC_FAIL': 3, 'NO_PATCH': 3, 'PASS': 1, 'TIMEOUT': 2}",1,361.4549069898203,412.10239299107343,0.8770997527249248,140.0,84.0,56.0,150.0,111228.70250000001
trigger_topology,disjoint,11,2,3,1,0,"{'CEC_FAIL->CEC_FAIL': 3, 'CEC_FAIL->NO_PATCH': 2, 'CEC_FAIL->PASS': 1, 'NO_PATCH->NO_PATCH': 1, 'PASS->PASS': 2, 'TIMEOUT->TIMEOUT': 2}","{'CEC_FAIL': 6, 'NO_PATCH': 1, 'PASS': 2, 'TIMEOUT': 2}","{'CEC_FAIL': 3, 'NO_PATCH': 3, 'PASS': 3, 'TIMEOUT': 2}",2,828.5667150048539,825.1841790042818,0.9959026641861463,160.0,96.0,64.0,174.0,111437.82630000002
trigger_topology,shared_trigger_literals,2,0,0,0,0,"{'CEC_FAIL->CEC_FAIL': 1, 'CEC_FAIL->NO_PATCH': 1}",{'CEC_FAIL': 2},"{'CEC_FAIL': 1, 'NO_PATCH': 1}",0,0,0,,80.0,48.0,32.0,80.0,429.89220000000006
benchmark,aes,2,0,0,0,0,{'TIMEOUT->TIMEOUT': 2},{'TIMEOUT': 2},{'TIMEOUT': 2},0,0,0,,0,0,0,0,0
benchmark,c7552,1,0,0,0,0,{'NO_PATCH->NO_PATCH': 1},{'NO_PATCH': 1},{'NO_PATCH': 1},0,0,0,,30.0,18.0,12.0,30.0,981.1902
benchmark,c880,8,2,3,1,0,"{'CEC_FAIL->CEC_FAIL': 2, 'CEC_FAIL->NO_PATCH': 3, 'CEC_FAIL->PASS': 1, 'PASS->PASS': 2}","{'CEC_FAIL': 6, 'PASS': 2}","{'CEC_FAIL': 2, 'NO_PATCH': 3, 'PASS': 3}",2,828.5667150048539,825.1841790042818,0.9959026641861463,210.0,126.0,84.0,214.0,1245.5225
benchmark,mem_ctrl,2,0,0,0,0,{'CEC_FAIL->CEC_FAIL': 2},{'CEC_FAIL': 2},{'CEC_FAIL': 2},0,0,0,,0.0,0.0,0.0,10.0,109641.00580000001
