case_id,cohort,circuit,phase_id,split,size_class,trojan_count,trigger_size,trigger_topology,positive_pattern_count,scalar_status,multi_head_status,transition,gain,regression,scalar_pass,multi_head_pass,scalar_abc_equivalent,multi_head_abc_equivalent,scalar_gt_verify,multi_head_gt_verify,scalar_timeout_stage,multi_head_timeout_stage,scalar_wall_ms,multi_head_wall_ms,multi_minus_scalar_wall_ms,multi_over_scalar_wall,scalar_runtime_ms,multi_head_runtime_ms,multi_minus_scalar_runtime_ms,multi_over_scalar_runtime,scalar_main_wall_ms,multi_head_main_wall_ms,scalar_external_cec_wall_ms,multi_head_external_cec_wall_ms,scalar_cec_rounds,multi_head_cec_rounds,scalar_golden_and,multi_head_golden_and,scalar_trojan_and,multi_head_trojan_and,scalar_patched_and,multi_head_patched_and,scalar_actual_and_delta_trojan,multi_head_actual_and_delta_trojan,multi_minus_scalar_actual_and_delta_trojan,scalar_golden_level,multi_head_golden_level,scalar_trojan_level,multi_head_trojan_level,scalar_patched_level,multi_head_patched_level,scalar_actual_level_delta_trojan,multi_head_actual_level_delta_trojan,multi_minus_scalar_actual_level_delta_trojan,initial_heads,discovery_candidates,discovery_candidate_source,final_heads,proved_heads,all_final_heads_proved,head_rule_events,scoped_formal_refinement_rebuild_events,formal_cex_returned,formal_cex_added,formal_global_cex_added,formal_solver_checks,formal_miter_ms,head_optimizer_ms,head_learning_ms,head_miter_statuses_json,cec_feedback_rounds,cec_feedback_labels_added,cec_feedback_corpus_added,cec_feedback_new_heads,input_golden_sha256,input_trojan_sha256,input_groundtruth_sha256,scalar_binary_sha256,multi_head_binary_sha256,abc_sha256,show_sha256
aes_n2_t5_o000_s9000_7aac57e8,v4_heldout_ood_large_ood,aes,heldout_ood,heldout_ood,large_ood,2,5,disjoint,160,TIMEOUT,CEC_FAIL,TIMEOUT->CEC_FAIL,0,0,0,0,,False,FAIL,PASS,main,,300168.9066980034,190712.62548607774,-109456.28121192567,0.6353510348023874,,187666.0,,,300166.96827404667,187921.22649401426,,1468.7470570206642,,4,,491808,,491823,,491833,,10,,,30,,32,,33,,1,,2,3,raw_dt_union,2,0,0,10,0,0,0,0,10,140730.4,65.3379,166727.4,"{""timeout"": 10}",5,10,5,0,7aac57e8dc8b84c0eed97e2dc60be53da917d7ef3f43af7eaf771ffc8e88149e,687c57a2ab38eeb3dc5585f2537e2f9d660f49ea4a806c0c811a140997202316,de4f198c5242c47f3842e276e0725ac859b29a3fac89e31b01e67546a94f9cca,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
aes_n3_t5_o000_s9000_7aac57e8,v4_heldout_ood_large_ood,aes,heldout_ood,heldout_ood,large_ood,3,5,disjoint,320,TIMEOUT,CEC_FAIL,TIMEOUT->CEC_FAIL,0,0,0,0,,False,FAIL,PASS,main,,300167.7220929414,293889.0008770395,-6278.721215901896,0.9790826236341368,,290808.0,,,300166.2349550752,291111.1972790677,,1468.4597189771011,,4,,491808,,491832,,491845,,13,,,30,,32,,33,,1,,3,3,raw_dt_union,3,0,0,15,0,0,0,0,15,227858.59999999998,105.56305999999998,265711.5,"{""timeout"": 15}",5,15,5,0,7aac57e8dc8b84c0eed97e2dc60be53da917d7ef3f43af7eaf771ffc8e88149e,fa8364a1486a02a9b913c18bfeb50eba0d0f207bfebb1ca98a132c04c011b9e5,6ef0eed12909b46bfe7383fb82b47fde567a657ba13c924e41e6671bf70d0f36,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c7552_n5_t5_o000_s9503_209d2aa4,v4_five_trojan_stress_small,c7552,five_trojan_stress,stress,small,5,5,disjoint,256,NO_PATCH,PASS,NO_PATCH->PASS,1,0,0,1,,True,FAIL,PASS,,,70161.00707196165,43106.59907897934,-27054.407992982306,0.6143953868103181,70065.8,42966.9,-27098.9,0.6132364149128391,70147.87127298769,43055.17806997523,,33.40959409251809,0,1,3512,3512,3554,3554,,3585,,31,,43,43,43,43,,43,,0,,4,3554,all_physical_gates,5,5,1,57,48,240,240,239,264,8721.373499999996,1748.64276,38769.84099999999,"{""counterexamples"": 48, ""proved"": 9}",1,4,1,1,209d2aa40b31abec1b114c50feef69797511c040b93cf55e7ab4933ad508f56a,68f9260441b047726aefc75ef5f0e1cf84b1a8a980f9a56611ebe93935a8e254,3862f64894cf34ac6099b2a8b35b7c7496c0a4ebe70e822fb1bdb8df61745172,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n1_t3_o000_s2007_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,1,3,disjoint,64,PASS,PASS,PASS->PASS,0,0,1,1,True,True,PASS,PASS,,,413.08178601320833,558.1554739037529,145.07368789054453,1.3511984619092012,332.412,476.94,144.52800000000002,1.4347857478069386,373.9050760632381,518.9573590178043,33.688158029690385,33.24294998310506,0,0,383,383,390,390,389,394,-1,4,5,24,24,24,24,24,24,0,0,0,1,390,all_physical_gates,1,1,1,2,1,5,5,5,8,32.278999999999996,11.797229999999999,185.74360000000001,"{""counterexamples"": 1, ""proved"": 1}",0,0,0,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,275a98779c2621ef1bf0721d91f9aa71189d9a3721475f1b67a261670033bab2,9935e720fd3c5d92bf6d8f828ea17b69151bf9396cfa02b2bcf1cf3053e1d434,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n1_t5_o000_s2001_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,1,5,disjoint,64,PASS,PASS,PASS->PASS,0,0,1,1,True,True,PASS,PASS,,,412.10239299107343,2783.1842160085216,2371.081823017448,6.753623039672105,317.205,2654.59,2337.385,8.368689018142842,372.91612895205617,2741.86045199167,33.382872003130615,33.68399292230606,0,0,383,383,390,390,389,399,-1,9,10,24,24,25,25,25,26,0,1,1,1,390,all_physical_gates,1,1,1,18,17,85,85,85,91,442.11479999999995,516.4547100000001,2380.1524,"{""counterexamples"": 17, ""proved"": 1}",0,0,0,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,1c56194d413977b3dd39c864cbff96040ca8e4db5ce6e6caa972e45f432d812f,bf254ed7bbf77a83ca3f04c195a0e6a4dd9ef4f4a05b87badbf11a36ac8a853f,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n2_t3_o000_s2004_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,2,3,disjoint,160,PASS,PASS,PASS->PASS,0,0,1,1,True,True,PASS,PASS,,,7092.693306040019,2184.1712939785793,-4908.522012061439,0.3079466712762803,6959.48,2087.9,-4871.58,0.30000804657819263,7048.586049000733,2144.2981431027874,33.60463003627956,33.14476797822863,3,0,383,383,397,397,421,407,24,10,-14,24,24,24,24,27,24,3,0,-3,2,397,all_physical_gates,2,2,1,11,9,45,45,45,50,221.92499999999998,726.5914599999999,1761.9344,"{""counterexamples"": 9, ""proved"": 2}",0,0,0,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,9aaefbffc80f1dfcd1803e02641785b80563a455ffe56c33964685959cc722e1,ca893095efd53a0f70d12015e9ed336240c0835fc4d269e548fe544fabeb0de9,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n2_t3_o500_s6004_6c8940cd,v4_shared_trigger_challenge_small,c880,shared_trigger_challenge,topology_challenge,small,2,3,shared_trigger_literals,48,NO_PATCH,PASS,NO_PATCH->PASS,1,0,0,1,,True,FAIL,PASS,,,35561.98487407528,3434.795079054311,-32127.189795020968,0.09658614644871186,35469.0,3334.21,-32134.79,0.0940034960106008,35555.1048660418,3392.7896479144692,,33.46036595758051,0,1,383,383,401,401,,421,,20,,24,24,24,24,,25,,1,,2,401,all_physical_gates,3,3,1,27,22,110,110,110,124,560.8488,289.93968,2961.5899,"{""counterexamples"": 22, ""proved"": 5}",1,2,1,1,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,d0aad44f50d741f03808556e6b2ad314c911bb39bfaf946e0fb34e3b5ca11f88,a87ad478ddd3881634eea29c0458b149fd6053c2f792ec4757cfacc83c16ae34,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n2_t5_o000_s2006_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,2,5,disjoint,160,NO_PATCH,PASS,NO_PATCH->PASS,1,0,0,1,,True,FAIL,PASS,,,4113.526590983383,7298.8792369142175,3185.352645930834,1.7743605335900698,4015.63,7164.18,3148.55,1.7840737318926296,4106.802019989118,7256.836811080575,,33.27271610032767,0,0,383,383,400,400,,412,,12,,24,24,24,24,,25,,1,,2,400,all_physical_gates,2,2,1,25,23,115,115,115,122,589.8973999999998,3954.6664400000004,6812.0572,"{""counterexamples"": 23, ""proved"": 2}",0,0,0,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,10fb96a1e0840facb3ff6eae977f3b48b873377bc663243bd0010e7810e0145c,381414a00bee7f1f00eb9587bec0be621e2ea3fe70fcee8e97d224e3ae75859f,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n3_t3_o000_s2004_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,3,3,disjoint,320,CEC_FAIL,PASS,CEC_FAIL->PASS,1,0,0,1,False,True,PASS,PASS,,,43522.34331599902,49410.44313996099,5888.099823961966,1.1352891268103542,43418.1,49281.0,5862.9000000000015,1.135033545917486,43480.29218195006,49365.41938292794,33.21749798487872,33.87104696594179,1,1,383,383,403,403,598,428,195,25,-170,24,24,24,24,36,24,12,0,-12,3,403,all_physical_gates,3,3,1,42,36,185,180,179,200,1037.3901999999998,43767.608190000006,48566.15149999999,"{""counterexamples"": 37, ""proved"": 5}",1,3,1,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,abf83b63e6e31cd37cf89881622e3e58ade8f3d96d21ec772db09cb21d9077e3,efabe71c4bdc71fb380d291d9bbfd716f61a970b1a970ddcc6710d9e3b8e79e2,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
c880_n3_t5_o000_s2001_6c8940cd,v4_core_final_small,c880,core_final,final_in_distribution,small,3,5,disjoint,320,NO_PATCH,PASS,NO_PATCH->PASS,1,0,0,1,,True,FAIL,PASS,,,45326.50608406402,49063.3739780169,3736.8678939528763,1.0824433254798496,45222.8,48946.7,3723.899999999994,1.0823456309649113,45318.83479794487,49021.0702449549,,33.19962206296623,0,0,383,383,404,404,,423,,19,,24,24,27,27,,28,,1,,3,404,all_physical_gates,3,3,1,33,30,150,150,150,158,812.9302999999998,44919.71474999999,48546.3371,"{""counterexamples"": 30, ""proved"": 3}",0,0,0,0,6c8940cdbd4b59e3bb170ca7c1ba1474832fcbab54d240244daa1e9c0281bc70,45d25e1cc3a582214f5b0ad68667167317db8d1bbe1915cdcb4d12d6859d6c05,5d451bbf8408cea36680bb0e019265c64c4b351004d4a26ee7c637cb2a54f245,2bebfa7eadefbcbda545d255dbd26bfa2da85a7adeb0097bffd9d36a61668b41,534b5eb47e069e0a947efd5d2a8daa1b3605ebc0c85d950f1d7814d9f605342f,627ee77136889096c2d8aa11ef9adffb666504867f29508180ac10fc596093e3,4517349556e40cf3468dc37802a4ceb8430df53c0447a2e36cf889f4fd9a4082
