circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
aes,aes_trojan1,PASS,PASS,PASS,89088.4,68066.7,46568.3,1.4616530987817893,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c2670,c2670_trojan0,PASS,PASS,PASS,599.998,451.515,509.459,0.8862636640043654,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,34.8318
c2670,c2670_trojan1,PASS,PASS,PASS,439.352,517.27,923.449,0.5601500461855501,0,0,0,1,1,2,1,1,1,1,1,1,proved,5,0,5,1,1,94.0001
c2670,c2670_trojan10,PASS,PASS,PASS,1189.02,1036.86,1033.51,1.0032413813122272,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,36.4273
c2670,c2670_trojan11,PASS,PASS,PASS,594.275,468.391,522.205,0.8969485163872425,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.1218
c2670,c2670_trojan12,PASS,PASS,PASS,638.083,662.112,773.184,0.8563446734541843,1,1,0,2,2,2,1,1,1,1,1,1,proved,5,0,5,1,1,95.5136
c2670,c2670_trojan13,PASS,PASS,PASS,380.757,487.82,431.862,1.1295737990376555,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.194
c2670,c2670_trojan14,PASS,PASS,PASS,481.736,589.05,614.011,0.9593476338371788,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.7874
c2670,c2670_trojan15,PASS,PASS,PASS,827.012,652.425,779.853,0.8365999746105997,1,1,0,2,2,2,1,1,1,1,1,1,proved,5,0,5,1,1,89.8851
c2670,c2670_trojan16,PASS,PASS,PASS,843.667,627.375,875.116,0.7169049588854506,1,1,0,2,2,2,1,1,1,1,1,1,proved,5,0,5,1,1,90.545
c2670,c2670_trojan17,PASS,PASS,PASS,515.891,467.125,456.611,1.0230261645032643,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.2651
c2670,c2670_trojan18,PASS,PASS,PASS,566.61,597.038,650.859,0.9173077425371701,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.7787
c2670,c2670_trojan19,PASS,PASS,PASS,510.685,458.237,559.989,0.8182964308227483,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.9736
c2670,c2670_trojan2,PASS,PASS,PASS,546.525,420.109,527.495,0.7964227149072503,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.8082
c2670,c2670_trojan20,PASS,PASS,PASS,365.975,369.581,454.1,0.8138757982823167,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.6309
c2670,c2670_trojan21,PASS,PASS,PASS,423.802,362.974,438.517,0.8277307379189404,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.3071
c2670,c2670_trojan22,PASS,PASS,PASS,433.748,386.61,477.796,0.8091528602164941,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.7523
