circuit,trojan,success,gt_verify,vn_rounds,cec_rounds,runtime_ms,area_delta,level_delta,rule_method,dt_builds,optimizer_calls,optimizer_solver_ms,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan
aes,aes_trojan1,PASS,PASS,0,0,89088.4,-1,-8,z3-pb,1,1,28.3406,1,1,1,-1,-8
c2670,c2670_trojan0,PASS,PASS,0,0,599.998,-1,0,z3-pb,1,1,6.8524,1,1,1,-1,0
c2670,c2670_trojan1,PASS,PASS,0,0,439.352,-1,0,z3-pb,1,1,7.4491,1,1,1,-1,0
c2670,c2670_trojan10,PASS,PASS,0,0,1189.02,-1,0,z3-pb,1,1,8.2741,1,1,1,-1,0
c2670,c2670_trojan11,PASS,PASS,0,0,594.275,-1,-14,z3-pb,1,1,6.0387,1,1,1,-1,-14
c2670,c2670_trojan12,PASS,PASS,0,1,638.083,-1,0,z3-pb,2,2,10.2645,1,1,1,-1,0
c2670,c2670_trojan13,PASS,PASS,0,0,380.757,-1,0,z3-pb,1,1,7.0512,1,1,1,-1,0
c2670,c2670_trojan14,PASS,PASS,0,0,481.736,-1,0,z3-pb,1,1,6.1484,1,1,1,-1,0
c2670,c2670_trojan15,PASS,PASS,0,1,827.012,-1,0,z3-pb,2,2,12.785900000000002,1,1,1,-1,0
c2670,c2670_trojan16,PASS,PASS,0,1,843.667,-1,0,z3-pb,2,2,14.4069,1,1,1,-1,0
c2670,c2670_trojan17,PASS,PASS,0,0,515.891,-1,0,z3-pb,1,1,8.2978,1,1,1,-1,0
c2670,c2670_trojan18,PASS,PASS,0,0,566.61,-1,0,z3-pb,1,1,6.5737,1,1,1,-1,0
c2670,c2670_trojan19,PASS,PASS,0,0,510.685,-1,-8,z3-pb,1,1,7.3116,1,1,1,-1,-8
c2670,c2670_trojan2,PASS,PASS,0,0,546.525,-1,0,z3-pb,1,1,6.3778,1,1,1,-1,0
c2670,c2670_trojan20,PASS,PASS,0,0,365.975,-1,-13,z3-pb,1,1,8.4929,1,1,1,-1,-13
c2670,c2670_trojan21,PASS,PASS,0,0,423.802,-1,-13,z3-pb,1,1,7.501,1,1,1,-1,-13
c2670,c2670_trojan22,PASS,PASS,0,0,433.748,-1,0,z3-pb,1,1,5.8552,1,1,1,-1,0
c2670,c2670_trojan23,PASS,PASS,0,0,617.001,-1,-12,z3-pb,1,1,7.2361,1,1,1,-1,-12
c2670,c2670_trojan24,PASS,PASS,0,0,949.35,-1,0,z3-pb,1,1,7.8195,1,1,1,-1,0
c2670,c2670_trojan25,PASS,PASS,0,0,748.691,-1,-12,z3-pb,1,1,7.2401,1,1,1,-1,-12
c2670,c2670_trojan26,PASS,PASS,0,0,422.941,-1,-11,z3-pb,1,1,8.8222,1,1,1,-1,-11
c2670,c2670_trojan27,PASS,PASS,0,0,485.67,-1,0,z3-pb,1,1,5.9539,1,1,1,-1,0
c2670,c2670_trojan28,PASS,PASS,0,1,1027.02,-1,0,z3-pb,2,2,11.531,1,1,1,-1,0
c2670,c2670_trojan29,PASS,PASS,0,0,451.136,-1,0,z3-pb,1,1,5.5459,1,1,1,-1,0
c2670,c2670_trojan3,PASS,PASS,0,1,980.53,-1,0,z3-pb,2,2,10.5753,1,1,1,-1,0
c2670,c2670_trojan30,PASS,PASS,0,0,461.031,-1,0,z3-pb,1,1,5.7902,1,1,1,-1,0
c2670,c2670_trojan31,PASS,PASS,0,0,540.226,-1,-11,z3-pb,1,1,6.9878,1,1,1,-1,-11
c2670,c2670_trojan32,PASS,PASS,0,0,417.882,-1,0,z3-pb,1,1,7.2183,1,1,1,-1,0
c2670,c2670_trojan33,PASS,PASS,0,0,371.132,-1,0,z3-pb,1,1,7.7167,1,1,1,-1,0
c2670,c2670_trojan34,PASS,PASS,0,0,527.068,-1,0,z3-pb,1,1,6.7427,1,1,1,-1,0
c2670,c2670_trojan35,PASS,PASS,0,0,454.699,-1,0,z3-pb,1,1,5.6253,1,1,1,-1,0
c2670,c2670_trojan36,PASS,PASS,0,0,440.98,-1,-12,z3-pb,1,1,5.2699,1,1,1,-1,-12
c2670,c2670_trojan37,PASS,PASS,0,0,424.623,-1,-14,z3-pb,1,1,5.4625,1,1,1,-1,-14
c2670,c2670_trojan38,PASS,PASS,0,0,438.936,-1,0,z3-pb,1,1,6.6954,1,1,1,-1,0
c2670,c2670_trojan39,PASS,PASS,0,0,383.802,-1,-11,z3-pb,1,1,6.9176,1,1,1,-1,-11
c2670,c2670_trojan4,PASS,PASS,0,0,401.985,-1,0,z3-pb,1,1,6.0731,1,1,1,-1,0
c2670,c2670_trojan40,PASS,PASS,0,0,586.519,-1,-13,z3-pb,1,1,6.906,1,1,1,-1,-13
c2670,c2670_trojan41,PASS,PASS,0,0,926.175,-1,-13,z3-pb,1,1,6.7885,1,1,1,-1,-13
c2670,c2670_trojan42,PASS,PASS,0,0,574.864,-1,-9,z3-pb,1,1,6.8069,1,1,1,-1,-9
c2670,c2670_trojan43,PASS,PASS,0,0,1879.61,-1,-9,z3-pb,1,1,7.2006,1,1,1,-1,-9
c2670,c2670_trojan44,PASS,PASS,0,0,414.119,-1,0,z3-pb,1,1,6.5629,1,1,1,-1,0
c2670,c2670_trojan45,PASS,PASS,0,0,466.507,-1,0,z3-pb,1,1,7.8211,1,1,1,-1,0
c2670,c2670_trojan46,PASS,PASS,0,0,1033.09,-1,-11,z3-pb,1,1,6.1388,1,1,1,-1,-11
c2670,c2670_trojan47,PASS,PASS,0,0,614.101,-1,0,z3-pb,1,1,6.7621,1,1,1,-1,0
c2670,c2670_trojan48,PASS,PASS,0,0,991.991,-1,-12,z3-pb,1,1,6.9918,1,1,1,-1,-12
c2670,c2670_trojan49,PASS,PASS,0,0,468.107,-1,-13,z3-pb,1,1,6.8197,1,1,1,-1,-13
c2670,c2670_trojan5,PASS,PASS,0,0,445.251,-1,0,z3-pb,1,1,6.1408,1,1,1,-1,0
c2670,c2670_trojan50,PASS,PASS,0,0,376.374,-1,-3,z3-pb,1,1,8.5258,1,1,1,-1,-3
c2670,c2670_trojan51,PASS,PASS,0,1,653.198,-1,-3,z3-pb,2,2,9.9131,1,1,1,-1,-3
c2670,c2670_trojan52,PASS,PASS,0,0,581.914,-1,0,z3-pb,1,1,6.3873,1,1,1,-1,0
c2670,c2670_trojan53,PASS,PASS,0,0,1592.0,-1,-5,z3-pb,1,1,6.936,1,1,1,-1,-5
c2670,c2670_trojan54,PASS,PASS,0,0,504.983,-1,0,z3-pb,1,1,6.3903,1,1,1,-1,0
c2670,c2670_trojan55,PASS,PASS,0,0,448.131,-1,0,z3-pb,1,1,5.5246,1,1,1,-1,0
c2670,c2670_trojan56,PASS,PASS,0,0,501.562,-1,-5,z3-pb,1,1,6.6356,1,1,1,-1,-5
c2670,c2670_trojan57,PASS,PASS,0,0,569.241,-1,-2,z3-pb,1,1,7.6546,1,1,1,-1,-2
c2670,c2670_trojan58,PASS,PASS,0,0,608.125,-1,0,z3-pb,1,1,7.2806,1,1,1,-1,0
