version,circuit,paired_cases,old_pass,new_pass,old_pass_rate,new_pass_rate,pass_rate_delta_pp,gains,regressions,both_pass,mcnemar_exact_p,runtime_both_pass_pairs,old_runtime_sum_ms,new_runtime_sum_ms,old_over_new_runtime_median,old_over_new_runtime_geomean,new_runtime_wins
v0,aes,1,1,1,1.0,1.0,0.0,0,0,1,,1,83199.4,89088.4,0.9338971179188312,0.9338971179188312,0
v0,c2670,100,90,100,0.9,1.0,10.0,10,0,90,0.001953125,90,81368.82900000003,58257.937999999995,1.3387336552629758,1.3342120095224352,88
v0,c3540,100,99,100,0.99,1.0,1.0,1,0,99,1.0,99,606207.4999999998,311429.4030000001,1.6881129545394786,1.8593949927593518,94
v0,c5315,100,68,90,0.68,0.9,22.0,23,1,67,2.9802322387695312e-06,67,2064867.7299999988,1213136.5589999992,3.0839840579971507,2.652119053133121,64
v0,c6288,1,0,1,0.0,1.0,100.0,1,0,0,1.0,0,0,0,,,0
v0,c7552,84,55,82,0.6547619047619048,0.9761904761904762,32.142857142857146,27,0,55,1.4901161193847656e-08,55,1125044.8959999995,306919.57000000007,3.6645184389545293,3.30099425104054,55
v0,c880,96,49,96,0.5104166666666666,1.0,48.958333333333336,47,0,49,1.4210854715202004e-14,49,188806.51900000003,62506.811,2.9047857906422174,2.80821310566344,49
v1,aes,1,1,1,1.0,1.0,0.0,0,0,1,,1,63320.2,89088.4,0.7107569560122305,0.7107569560122305,0
v1,c2670,100,96,100,0.96,1.0,4.0,4,0,96,0.125,96,96213.599,63372.683000000005,1.414153650138697,1.4407905612474508,96
v1,c3540,100,99,100,0.99,1.0,1.0,1,0,99,1.0,99,563493.5829999998,311429.4030000001,1.7409447612763354,1.8347540821188228,94
v1,c5315,100,73,90,0.73,0.9,17.0,18,1,72,7.62939453125e-05,72,2080329.32,1258850.638999999,2.7775243347917105,2.604607141023364,69
v1,c6288,1,1,1,1.0,1.0,0.0,0,0,1,,1,74649.7,5115.86,14.591818384396758,14.591818384396756,1
v1,c7552,84,75,82,0.8928571428571429,0.9761904761904762,8.333333333333334,7,0,75,0.015625,75,1511764.7050000003,367326.40900000004,3.7312248343250505,3.875622687013181,75
v1,c880,96,87,96,0.90625,1.0,9.375,9,0,87,0.00390625,87,422574.553,98050.936,3.5690196928244435,3.836894256680077,87
v2,aes,1,1,1,1.0,1.0,0.0,0,0,1,,1,62864.3,89088.4,0.7056395669918868,0.7056395669918868,0
v2,c2670,100,100,100,1.0,1.0,0.0,0,0,100,,100,90404.556,66250.60200000001,1.309684024655637,1.320765746362926,96
v2,c3540,100,100,100,1.0,1.0,0.0,0,0,100,,100,535560.5360000001,313050.3730000001,1.6175460261009404,1.722370218868599,94
v2,c5315,100,73,90,0.73,0.9,17.0,18,1,72,7.62939453125e-05,72,2154857.3600000003,1258850.638999999,2.879563372604622,2.6556966824343804,69
v2,c6288,1,1,1,1.0,1.0,0.0,0,0,1,,1,75156.4,5115.86,14.690863315258822,14.69086331525882,1
v2,c7552,84,77,82,0.9166666666666666,0.9761904761904762,5.9523809523809526,5,0,77,0.0625,77,1566157.825,369931.10300000006,3.792233048840701,3.757778692505152,77
v2,c880,96,84,96,0.875,1.0,12.5,12,0,84,0.00048828125,84,462405.39199999993,97416.428,3.6274771695732486,4.207651402472588,84
v3,aes,1,0,1,0.0,1.0,100.0,1,0,0,1.0,0,0,0,,,0
v3,c2670,100,100,100,1.0,1.0,0.0,0,0,100,,100,92796.32499999998,66250.60200000001,1.382881147615618,1.3815222524790083,100
v3,c3540,100,100,100,1.0,1.0,0.0,0,0,100,,100,545227.254,313050.3730000001,1.638726557298663,1.7486532473702663,95
v3,c5315,100,66,90,0.66,0.9,24.0,24,0,66,1.1920928955078125e-07,66,1751891.0100000005,593405.6390000003,2.948619760864489,2.9700997055875904,65
v3,c6288,1,1,1,1.0,1.0,0.0,0,0,1,,1,74306.4,5115.86,14.52471334242923,14.524713342429232,1
v3,c7552,84,76,82,0.9047619047619048,0.9761904761904762,7.142857142857143,6,0,76,0.03125,76,1547956.6339999994,369380.8340000001,3.770589185706843,3.7797934924210406,76
v3,c880,96,84,96,0.875,1.0,12.5,12,0,84,0.00048828125,84,546811.6540000001,97462.772,4.239920580694411,5.158157851341282,84
v4,aes,1,0,1,0.0,1.0,100.0,1,0,0,1.0,0,0,0,,,0
v4,c2670,100,100,100,1.0,1.0,0.0,0,0,100,,100,100245.80799999993,66250.60200000001,1.425461599066558,1.471538048067538,100
v4,c3540,100,100,100,1.0,1.0,0.0,0,0,100,,100,875479.2090000004,313050.3730000001,2.21372148770588,2.358781967155499,98
v4,c5315,45,29,41,0.6444444444444445,0.9111111111111111,26.666666666666668,12,0,29,0.00048828125,29,869713.97,305502.01900000003,3.217236659795208,2.8807242595609037,27
v5,aes,1,1,1,1.0,1.0,0.0,0,0,1,,1,137644.0,89088.4,1.5450271864799459,1.5450271864799459,1
v5,c2670,100,100,100,1.0,1.0,0.0,0,0,100,,100,101042.63000000003,66250.60200000001,1.4811499093164946,1.4961504154506682,100
v5,c3540,100,100,100,1.0,1.0,0.0,0,0,100,,100,532203.721,313050.3730000001,1.6172151370343144,1.7352778691859703,97
v5,c5315,25,16,23,0.64,0.92,28.0,7,0,16,0.015625,16,615867.6,218046.80299999996,2.4843176753478406,2.730649555371233,15
