version,circuit,trojan,old_status,new_status,transition,old_runtime_ms,new_runtime_ms,old_over_new_runtime,old_area_delta,new_reported_area_delta,old_level_delta,new_reported_level_delta
v0,aes,aes_trojan1,PASS,PASS,PASS_STABLE,83199.400,89088.400,0.933897,-1,-1,-8,-8
v0,c2670,c2670_trojan0,PASS,PASS,PASS_STABLE,566.140,599.998,0.943570,-1,-1,0,0
v0,c2670,c2670_trojan1,PASS,PASS,PASS_STABLE,620.549,439.352,1.412419,-1,-1,0,0
v0,c2670,c2670_trojan10,PASS,PASS,PASS_STABLE,1949.670,1189.020,1.639729,-1,-1,0,0
v0,c2670,c2670_trojan11,PASS,PASS,PASS_STABLE,644.988,594.275,1.085336,-1,-1,-14,-14
v0,c2670,c2670_trojan12,CEC_FAIL,PASS,GAIN,541.770,638.083,,1,-1,0,0
v0,c2670,c2670_trojan13,PASS,PASS,PASS_STABLE,465.457,380.757,1.222452,-1,-1,0,0
v0,c2670,c2670_trojan14,PASS,PASS,PASS_STABLE,664.176,481.736,1.378714,-1,-1,0,0
v0,c2670,c2670_trojan15,CEC_FAIL,PASS,GAIN,675.960,827.012,,1,-1,1,0
v0,c2670,c2670_trojan16,CEC_FAIL,PASS,GAIN,539.015,843.667,,1,-1,1,0
v0,c2670,c2670_trojan17,PASS,PASS,PASS_STABLE,582.905,515.891,1.129900,-1,-1,0,0
v0,c2670,c2670_trojan18,PASS,PASS,PASS_STABLE,878.363,566.610,1.550207,-1,-1,0,0
v0,c2670,c2670_trojan19,PASS,PASS,PASS_STABLE,724.511,510.685,1.418704,-1,-1,-8,-8
v0,c2670,c2670_trojan2,PASS,PASS,PASS_STABLE,647.454,546.525,1.184674,-1,-1,0,0
v0,c2670,c2670_trojan20,PASS,PASS,PASS_STABLE,555.268,365.975,1.517229,-1,-1,-13,-13
v0,c2670,c2670_trojan21,PASS,PASS,PASS_STABLE,465.363,423.802,1.098067,-1,-1,-13,-13
v0,c2670,c2670_trojan22,PASS,PASS,PASS_STABLE,533.577,433.748,1.230154,-1,-1,0,0
v0,c2670,c2670_trojan23,PASS,PASS,PASS_STABLE,717.642,617.001,1.163113,-1,-1,-12,-12
v0,c2670,c2670_trojan24,PASS,PASS,PASS_STABLE,1663.630,949.350,1.752388,-1,-1,0,0
v0,c2670,c2670_trojan25,PASS,PASS,PASS_STABLE,1419.780,748.691,1.896350,-1,-1,-12,-12
v0,c2670,c2670_trojan26,PASS,PASS,PASS_STABLE,554.325,422.941,1.310644,-1,-1,-11,-11
v0,c2670,c2670_trojan27,PASS,PASS,PASS_STABLE,545.799,485.670,1.123806,-1,-1,0,0
v0,c2670,c2670_trojan28,CEC_FAIL,PASS,GAIN,928.211,1027.020,,1,-1,1,0
v0,c2670,c2670_trojan29,PASS,PASS,PASS_STABLE,664.294,451.136,1.472492,-1,-1,0,0
v0,c2670,c2670_trojan3,CEC_FAIL,PASS,GAIN,862.309,980.530,,1,-1,1,0
v0,c2670,c2670_trojan30,PASS,PASS,PASS_STABLE,676.700,461.031,1.467797,-1,-1,0,0
v0,c2670,c2670_trojan31,PASS,PASS,PASS_STABLE,1062.810,540.226,1.967343,-1,-1,-11,-11
v0,c2670,c2670_trojan32,PASS,PASS,PASS_STABLE,556.341,417.882,1.331335,-1,-1,0,0
v0,c2670,c2670_trojan33,PASS,PASS,PASS_STABLE,468.157,371.132,1.261430,-1,-1,0,0
v0,c2670,c2670_trojan34,PASS,PASS,PASS_STABLE,633.171,527.068,1.201308,-1,-1,0,0
