circuit,trojan_bench,patched_bench,trojan_area,trojan_delay,trojan_opt_area,trojan_opt_delay,patched_area,patched_delay,patched_opt_area,patched_opt_delay
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan29.bench","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan29_patched.bench","1201","37","710","27","1200","37","694","21"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan82.bench","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan82_patched.bench","1202","33","595","18","1201","33","583","17"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan85.bench","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan85_patched.bench","1198","33","594","18","1197","33","582","17"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan80.bench","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan80_patched.bench","1201","36","595","18","1200","33","582","17"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan74.bench","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan74_patched.bench","1201","33","594","18","1200","33","582","17"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan8.bench","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan8_patched.bench","1676","49","1033","40","1675","49","1028","40"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan95.bench","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan95_patched.bench","1645","63","941","32","1644","63","936","32"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan99.bench","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan99_patched.bench","1646","62","940","32","1645","62","935","32"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan31.bench","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan31_patched.bench","1676","48","1033","40","1678","49","1037","41"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan49.bench","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan49_patched.bench","1675","47","1031","40","1674","47","1028","40"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan56.bench","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan56_patched.bench","2561","63","1346","34","2565","63","1352","34"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan18.bench","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan18_patched.bench","2313","49","1746","38","2649","53","1824","39"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan81.bench","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan81_patched.bench","2575","63","1354","34","3237","82","1512","46"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan33.bench","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan33_patched.bench","2313","49","1746","43","2339","49","1755","45"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan91.bench","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan91_patched.bench","2559","57","1345","31","2565","58","1351","33"
"c7552","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan46.bench","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan46_patched.bench","3519","43","1966","33","3523","43","1972","33"
"c7552","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan40.bench","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan40_patched.bench","3519","43","1967","29","3525","43","1974","29"
"c7552","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan84.bench","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan84_patched.bench","3096","49","1586","25","3098","49","1590","25"
"c880","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan12.bench","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan12_patched.bench","390","24","332","24","399","25","341","26"
"c880","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan57.bench","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan57_patched.bench","569","38","320","21","574","39","326","23"
"c880","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan98.bench","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan98_patched.bench","562","38","317","21","580","40","324","25"
"c880","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan18.bench","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan18_patched.bench","389","24","329","24","388","24","327","24"
"c880","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan10.bench","trojaned_bench/V0_singleTrigger_singlePayload/c880/c880_trojan10_patched.bench","389","24","332","24","397","25","340","26"
