circuit,trojan_bench,groundtruth,gt_exists,main_exit,run_time_sec,patched_bench,cec_result,cec_rounds_used,cec_detail,orig_area,orig_delay,patched_area,patched_delay
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan29.bench","groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan29_error_patterns.json","1","0","0","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan29_patched.bench","equivalent","1","Networks are equivalent. Time = 0.01 sec","1201","37","1200","37"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan82.bench","groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan82_error_patterns.json","1","0","0","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan82_patched.bench","equivalent","1","Networks are equivalent. Time = 0.02 sec","1202","33","1201","33"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan85.bench","groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan85_error_patterns.json","1","0","0","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan85_patched.bench","equivalent","1","Networks are equivalent. Time = 0.02 sec","1198","33","1197","33"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan80.bench","groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan80_error_patterns.json","1","0","1","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan80_patched.bench","equivalent","1","Networks are equivalent. Time = 0.02 sec","1201","36","1200","33"
"c2670","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan74.bench","groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan74_error_patterns.json","1","0","0","trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan74_patched.bench","equivalent","1","Networks are equivalent. Time = 0.02 sec","1201","33","1200","33"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan8.bench","groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan8_error_patterns.json","1","0","1","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan8_patched.bench","equivalent","1","Networks are equivalent after structural hashing. Time = 0.00 sec","1676","49","1675","49"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan95.bench","groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan95_error_patterns.json","1","0","6","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan95_patched.bench","equivalent","1","Networks are equivalent. Time = 0.06 sec","1645","63","1644","63"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan99.bench","groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan99_error_patterns.json","1","0","2","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan99_patched.bench","equivalent","1","Networks are equivalent. Time = 0.06 sec","1646","62","1645","62"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan31.bench","groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan31_error_patterns.json","1","0","11","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan31_patched.bench","equivalent","1","Networks are equivalent. Time = 0.01 sec","1676","48","1678","49"
"c3540","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan49.bench","groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan49_error_patterns.json","1","0","0","trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan49_patched.bench","equivalent","1","Networks are equivalent after structural hashing. Time = 0.00 sec","1675","47","1674","47"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan56.bench","groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan56_error_patterns.json","1","0","87","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan56_patched.bench","equivalent","1","Networks are equivalent. Time = 0.05 sec","2561","63","2565","63"
