circuit	trojan_bench	groundtruth	gt_exists	main_exit	patched_bench	cec_result	cec_detail
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan0.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan0_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan1.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan1_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan10.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan10_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan11.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan11_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan12.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan12_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan0.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan0_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan1.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan1_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan10.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan10_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan11.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan11_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan12.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan12_round1_error_patterns.json	1	1		no_patch	
c5315	trojaned_bench/V1_singleTrigger_multiPayload/c5315/c5315_trojan0.bench	groundtruth/V1_singleTrigger_multiPayload/c5315/c5315_trojan0_round1_error_patterns.json	1	1		no_patch	
c5315	trojaned_bench/V1_singleTrigger_multiPayload/c5315/c5315_trojan1.bench	groundtruth/V1_singleTrigger_multiPayload/c5315/c5315_trojan1_round1_error_patterns.json	1	1		no_patch	
c5315	trojaned_bench/V1_singleTrigger_multiPayload/c5315/c5315_trojan10.bench	groundtruth/V1_singleTrigger_multiPayload/c5315/c5315_trojan10_round1_error_patterns.json	1	0		no_patch	
c5315	trojaned_bench/V1_singleTrigger_multiPayload/c5315/c5315_trojan11.bench	groundtruth/V1_singleTrigger_multiPayload/c5315/c5315_trojan11_round1_error_patterns.json	1	0		no_patch	
c5315	trojaned_bench/V1_singleTrigger_multiPayload/c5315/c5315_trojan12.bench	groundtruth/V1_singleTrigger_multiPayload/c5315/c5315_trojan12_round1_error_patterns.json	1	0		no_patch	
c6288	trojaned_bench/V1_singleTrigger_multiPayload/c6288/c6288_trojan0.bench	groundtruth/V1_singleTrigger_multiPayload/c6288/c6288_trojan0_round1_error_patterns.json	1	1		no_patch	
c6288	trojaned_bench/V1_singleTrigger_multiPayload/c6288/c6288_trojan1.bench	groundtruth/V1_singleTrigger_multiPayload/c6288/c6288_trojan1_round1_error_patterns.json	1	-15		no_patch	
c6288	trojaned_bench/V1_singleTrigger_multiPayload/c6288/c6288_trojan12.bench	groundtruth/V1_singleTrigger_multiPayload/c6288/c6288_trojan12_round1_error_patterns.json	1	-15		no_patch	
