circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta
aes,aes_trojan1,PASS,PASS,1,83199.4,-1,-8
c2670,c2670_trojan0,PASS,PASS,0,566.14,-1,0
c2670,c2670_trojan10,PASS,PASS,0,1949.67,-1,0
c2670,c2670_trojan11,PASS,PASS,0,644.988,-1,-14
c2670,c2670_trojan12,CEC_FAIL,PASS,0,541.77,1,0
c2670,c2670_trojan13,PASS,PASS,0,465.457,-1,0
c2670,c2670_trojan14,PASS,PASS,0,664.176,-1,0
c2670,c2670_trojan15,CEC_FAIL,PASS,0,675.96,1,1
c2670,c2670_trojan16,CEC_FAIL,PASS,0,539.015,1,1
c2670,c2670_trojan17,PASS,PASS,0,582.905,-1,0
c2670,c2670_trojan18,PASS,PASS,0,878.363,-1,0
c2670,c2670_trojan19,PASS,PASS,0,724.511,-1,-8
c2670,c2670_trojan1,PASS,PASS,0,620.549,-1,0
c2670,c2670_trojan20,PASS,PASS,0,555.268,-1,-13
c2670,c2670_trojan21,PASS,PASS,0,465.363,-1,-13
c2670,c2670_trojan22,PASS,PASS,0,533.577,-1,0
c2670,c2670_trojan23,PASS,PASS,0,717.642,-1,-12
c2670,c2670_trojan24,PASS,PASS,0,1663.63,-1,0
c2670,c2670_trojan25,PASS,PASS,0,1419.78,-1,-12
c2670,c2670_trojan26,PASS,PASS,0,554.325,-1,-11
c2670,c2670_trojan27,PASS,PASS,0,545.799,-1,0
c2670,c2670_trojan28,CEC_FAIL,PASS,0,928.211,1,1
c2670,c2670_trojan29,PASS,PASS,0,664.294,-1,0
c2670,c2670_trojan2,PASS,PASS,0,647.454,-1,0
c2670,c2670_trojan30,PASS,PASS,0,676.7,-1,0
c2670,c2670_trojan31,PASS,PASS,0,1062.81,-1,-11
c2670,c2670_trojan32,PASS,PASS,0,556.341,-1,0
c2670,c2670_trojan33,PASS,PASS,0,468.157,-1,0
c2670,c2670_trojan34,PASS,PASS,0,633.171,-1,0
c2670,c2670_trojan35,PASS,PASS,0,513.766,-1,0
c2670,c2670_trojan36,PASS,PASS,0,619.379,-1,-12
