circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,PASS,PASS,1,63320.2,-1,-8,0
c2670,c2670_trojan0,PASS,PASS,0,659.916,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1266.53,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,762.489,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,2492.41,1,1,4
c2670,c2670_trojan13,PASS,PASS,0,538.152,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,844.802,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,1743.1,1,1,2
c2670,c2670_trojan16,PASS,PASS,0,2238.54,1,1,3
c2670,c2670_trojan17,PASS,PASS,0,615.654,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,806.106,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,1008.04,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,590.696,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,546.694,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,496.118,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,559.353,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,723.135,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,1348.26,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1224.95,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,540.174,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,564.044,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,1615.82,1,1,1
c2670,c2670_trojan29,PASS,PASS,0,673.677,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,706.627,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,597.401,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,844.937,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,603.765,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,495.078,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,592.746,-1,0,0
c2670,c2670_trojan35,PASS,PASS,0,576.065,-1,0,0
c2670,c2670_trojan36,PASS,PASS,0,667.873,-1,-12,0
c2670,c2670_trojan37,PASS,PASS,0,587.387,-1,-14,0
c2670,c2670_trojan38,PASS,PASS,0,558.795,-1,0,0
c2670,c2670_trojan39,PASS,PASS,0,486.396,-1,-11,0
c2670,c2670_trojan3,PASS,PASS,0,1500.58,1,1,1
c2670,c2670_trojan40,PASS,PASS,0,814.099,-1,-13,0
c2670,c2670_trojan41,PASS,PASS,0,1057.61,-1,-13,0
c2670,c2670_trojan42,PASS,PASS,0,819.243,-1,-9,0
c2670,c2670_trojan43,PASS,PASS,0,2477.54,-1,-9,0
c2670,c2670_trojan44,PASS,PASS,0,482.771,-1,0,0
c2670,c2670_trojan45,PASS,PASS,0,563.346,-1,0,0
c2670,c2670_trojan46,PASS,PASS,0,1854.32,-1,-11,0
c2670,c2670_trojan47,PASS,PASS,0,792.503,-1,0,0
c2670,c2670_trojan48,PASS,PASS,0,1212.48,-1,-12,0
c2670,c2670_trojan49,PASS,PASS,0,664.899,-1,-13,0
c2670,c2670_trojan4,PASS,PASS,0,584.227,-1,0,0
c2670,c2670_trojan50,PASS,PASS,0,553.06,-1,-3,0
c2670,c2670_trojan51,CEC_FAIL,PASS,3,3307.52,3,1,5
c2670,c2670_trojan52,PASS,PASS,0,921.759,-1,0,0
