circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,PASS,PASS,1,79034.9,-1,-8,0
c2670,c2670_trojan0,PASS,PASS,0,616.047,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1586.11,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,593.559,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,2669.91,1,1,4
c2670,c2670_trojan13,PASS,PASS,0,672.746,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,1259.52,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,1834.33,1,1,2
c2670,c2670_trojan16,PASS,PASS,0,2304.6,1,1,3
c2670,c2670_trojan17,PASS,PASS,0,802.296,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,789.12,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,884.471,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,628.001,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,544.76,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,742.568,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,629.171,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,1130.23,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,1552.93,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1176.93,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,552.027,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,639.691,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,1648.72,1,1,1
c2670,c2670_trojan29,PASS,PASS,0,615.225,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,716.521,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,783.597,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,781.019,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,664.288,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,544.558,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,614.111,-1,0,0
