circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,PASS,PASS,1,137644,-1,-8,0
c2670,c2670_trojan0,PASS,PASS,0,767.998,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1783.13,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,718.175,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,1250.8,-1,0,1
c2670,c2670_trojan13,PASS,PASS,0,620.914,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,1179.88,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,991.125,-1,0,1
c2670,c2670_trojan16,PASS,PASS,0,1043.38,-1,0,1
c2670,c2670_trojan17,PASS,PASS,0,619.148,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,865.688,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,1094.78,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,699.995,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,558.553,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,576.486,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,626.962,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,889.754,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,1413.13,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1593.48,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,541.017,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,622.485,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,1727.72,-1,0,1
c2670,c2670_trojan29,PASS,PASS,0,713.341,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,777.209,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,691.689,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,842.667,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,607.179,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,528.903,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,628.397,-1,0,0
c2670,c2670_trojan35,PASS,PASS,0,648.251,-1,0,0
c2670,c2670_trojan36,PASS,PASS,0,993.521,-1,-12,0
c2670,c2670_trojan37,PASS,PASS,0,648.767,-1,-14,0
c2670,c2670_trojan38,PASS,PASS,0,593.354,-1,0,0
c2670,c2670_trojan39,PASS,PASS,0,522.251,-1,-11,0
c2670,c2670_trojan3,PASS,PASS,0,1484.13,-1,0,1
c2670,c2670_trojan40,PASS,PASS,0,1358.33,-1,-13,0
c2670,c2670_trojan41,PASS,PASS,0,1304.83,-1,-13,0
c2670,c2670_trojan42,PASS,PASS,0,880.483,-1,-9,0
c2670,c2670_trojan43,PASS,PASS,0,2382.23,-1,-9,0
c2670,c2670_trojan44,PASS,PASS,0,570.001,-1,0,0
c2670,c2670_trojan45,PASS,PASS,0,573.658,-1,0,0
c2670,c2670_trojan46,PASS,PASS,0,1624.03,-1,-11,0
c2670,c2670_trojan47,PASS,PASS,0,817.699,-1,0,0
c2670,c2670_trojan48,PASS,PASS,0,1243.33,-1,-12,0
c2670,c2670_trojan49,PASS,PASS,0,693.564,-1,-13,0
c2670,c2670_trojan4,PASS,PASS,0,566.777,-1,0,0
c2670,c2670_trojan50,PASS,PASS,0,529.836,-1,-3,0
c2670,c2670_trojan51,PASS,PASS,0,934.32,-1,-3,1
c2670,c2670_trojan52,PASS,PASS,0,952.244,-1,0,0
c2670,c2670_trojan53,PASS,PASS,0,2420.19,-1,-5,0
c2670,c2670_trojan54,PASS,PASS,0,654.486,-1,0,0
c2670,c2670_trojan55,PASS,PASS,0,592.371,-1,0,0
c2670,c2670_trojan56,PASS,PASS,0,745.943,-1,-5,0
c2670,c2670_trojan57,PASS,PASS,0,829.472,-1,-2,0
c2670,c2670_trojan58,PASS,PASS,0,1335.06,-1,0,0
c2670,c2670_trojan59,PASS,PASS,0,535.693,-1,-6,0
c2670,c2670_trojan5,PASS,PASS,0,577.312,-1,0,0
c2670,c2670_trojan60,PASS,PASS,0,1429.46,-1,0,0
c2670,c2670_trojan61,PASS,PASS,0,689.993,-1,-2,0
c2670,c2670_trojan62,PASS,PASS,0,982.154,-1,-3,1
c2670,c2670_trojan63,PASS,PASS,0,592.775,-1,-5,0
c2670,c2670_trojan64,PASS,PASS,0,1106.98,-1,-7,0
c2670,c2670_trojan65,PASS,PASS,0,1091.95,-1,-2,1
c2670,c2670_trojan66,PASS,PASS,0,994.458,-1,-3,1
c2670,c2670_trojan67,PASS,PASS,0,845.171,-1,0,0
c2670,c2670_trojan68,PASS,PASS,0,720.025,-1,-3,0
c2670,c2670_trojan69,PASS,PASS,0,718.313,-1,0,0
c2670,c2670_trojan6,PASS,PASS,0,640.642,-1,0,0
c2670,c2670_trojan70,PASS,PASS,0,619.461,-1,-2,0
c2670,c2670_trojan71,PASS,PASS,0,2266.95,-1,-2,0
c2670,c2670_trojan72,PASS,PASS,0,574.226,-1,-3,0
c2670,c2670_trojan73,PASS,PASS,0,938.966,-1,-2,0
c2670,c2670_trojan74,PASS,PASS,0,999.032,-1,0,0
c2670,c2670_trojan75,PASS,PASS,0,3502.28,-1,-5,0
c2670,c2670_trojan76,PASS,PASS,0,517.476,-1,-2,0
c2670,c2670_trojan77,PASS,PASS,0,578.843,-1,0,0
c2670,c2670_trojan78,PASS,PASS,0,2510.05,-1,-5,0
c2670,c2670_trojan79,PASS,PASS,0,1352.11,-1,0,0
