circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,PASS,PASS,1,69826.4,-1,-8,0
c2670,c2670_trojan0,PASS,PASS,0,575.307,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1280.18,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,720.364,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,976.249,-1,0,1
c2670,c2670_trojan13,PASS,PASS,0,476.541,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,712.586,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,1036.98,-1,0,1
c2670,c2670_trojan16,PASS,PASS,0,973.412,-1,0,1
c2670,c2670_trojan17,PASS,PASS,0,647.693,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,756.761,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,695.964,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,670.854,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,488.869,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,467.893,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,654.373,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,1136.05,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,1483.56,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1112.89,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,559.66,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,621.058,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,2073.7,-1,0,1
c2670,c2670_trojan29,PASS,PASS,0,585.291,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,655.695,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,588.848,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,979.664,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,728.077,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,506.141,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,607.785,-1,0,0
c2670,c2670_trojan35,PASS,PASS,0,550.831,-1,0,0
c2670,c2670_trojan36,PASS,PASS,0,669.204,-1,-12,0
c2670,c2670_trojan37,PASS,PASS,0,709.241,-1,-14,0
c2670,c2670_trojan38,PASS,PASS,0,565.437,-1,0,0
c2670,c2670_trojan39,PASS,PASS,0,616.726,-1,-11,0
c2670,c2670_trojan3,PASS,PASS,0,1598.81,-1,0,1
c2670,c2670_trojan40,PASS,PASS,0,906.403,-1,-13,0
c2670,c2670_trojan41,PASS,PASS,0,1346.87,-1,-13,0
c2670,c2670_trojan42,PASS,PASS,0,865.62,-1,-9,0
c2670,c2670_trojan43,PASS,PASS,0,2962.68,-1,-9,0
c2670,c2670_trojan44,PASS,PASS,0,519.956,-1,0,0
c2670,c2670_trojan45,PASS,PASS,0,561.6,-1,0,0
c2670,c2670_trojan46,PASS,PASS,0,1813.59,-1,-11,0
c2670,c2670_trojan47,PASS,PASS,0,872.708,-1,0,0
c2670,c2670_trojan48,PASS,PASS,0,1159.94,-1,-12,0
c2670,c2670_trojan49,PASS,PASS,0,661.617,-1,-13,0
c2670,c2670_trojan4,PASS,PASS,0,497.584,-1,0,0
c2670,c2670_trojan50,PASS,PASS,0,556.635,-1,-3,0
c2670,c2670_trojan51,PASS,PASS,0,1234.12,-1,-3,1
c2670,c2670_trojan52,PASS,PASS,0,952.766,-1,0,0
c2670,c2670_trojan53,PASS,PASS,0,2562.04,-1,-5,0
c2670,c2670_trojan54,PASS,PASS,0,696.017,-1,0,0
c2670,c2670_trojan55,PASS,PASS,0,554.966,-1,0,0
c2670,c2670_trojan56,PASS,PASS,0,679.332,-1,-5,0
c2670,c2670_trojan57,PASS,PASS,0,732.995,-1,-2,0
c2670,c2670_trojan58,PASS,PASS,0,888.879,-1,0,0
c2670,c2670_trojan59,PASS,PASS,0,495.374,-1,-6,0
c2670,c2670_trojan5,PASS,PASS,0,586.102,-1,0,0
c2670,c2670_trojan60,PASS,PASS,0,1376.24,-1,0,0
c2670,c2670_trojan61,PASS,PASS,0,671.783,-1,-2,0
c2670,c2670_trojan62,PASS,PASS,0,902.152,-1,-3,1
